13.4455 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
16.6287 	EXP 	window1: mouseVisible = True
16.6336 	EXP 	window1: mouseVisible = True
16.6404 	EXP 	window1: mouseVisible = True
16.6409 	EXP 	window1: mouseVisible = True
16.6525 	EXP 	window1: mouseVisible = True
16.6526 	EXP 	window1: mouseVisible = True
16.6533 	EXP 	window1: mouseVisible = True
16.6541 	EXP 	window1: mouseVisible = True
16.6726 	EXP 	window1: mouseVisible = True
16.6728 	EXP 	window1: mouseVisible = True
16.6735 	EXP 	window1: mouseVisible = True
16.6742 	EXP 	window1: mouseVisible = True
16.6792 	EXP 	window1: mouseVisible = True
16.6793 	EXP 	window1: mouseVisible = True
16.6800 	EXP 	window1: mouseVisible = True
16.6807 	EXP 	window1: mouseVisible = True
16.6899 	EXP 	window1: mouseVisible = True
16.6901 	EXP 	window1: mouseVisible = True
16.6908 	EXP 	window1: mouseVisible = True
16.6914 	EXP 	window1: mouseVisible = True
16.6964 	EXP 	window1: mouseVisible = True
16.6966 	EXP 	window1: mouseVisible = True
16.6973 	EXP 	window1: mouseVisible = True
16.6980 	EXP 	window1: mouseVisible = True
16.7100 	EXP 	window1: mouseVisible = True
16.7101 	EXP 	window1: mouseVisible = True
16.7108 	EXP 	window1: mouseVisible = True
16.7115 	EXP 	window1: mouseVisible = True
16.7166 	EXP 	window1: mouseVisible = True
16.7167 	EXP 	window1: mouseVisible = True
16.7174 	EXP 	window1: mouseVisible = True
16.7181 	EXP 	window1: mouseVisible = True
16.7308 	EXP 	window1: mouseVisible = True
16.7309 	EXP 	window1: mouseVisible = True
16.7316 	EXP 	window1: mouseVisible = True
16.7323 	EXP 	window1: mouseVisible = True
16.7374 	EXP 	window1: mouseVisible = True
16.7543 	EXP 	window1: mouseVisible = True
16.8295 	EXP 	Created age_slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=1.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=('18-20', '21-24', '25-30', 'above 30'), lineColor=None, markerColor=None, name='age_slider', opacity=None, ori=0.0, pos=array([0.1, 0.3]), readOnly=False, self=UNKNOWN, size=array([0.8 , 0.05]), startValue=None, style='radio', styleTweaks=[], ticks=array([0, 1, 2, 3]), units='height', win=Window(...))
16.8298 	EXP 	window1: mouseVisible = True
16.8300 	EXP 	window1: mouseVisible = True
16.8306 	EXP 	window1: mouseVisible = True
16.8313 	EXP 	window1: mouseVisible = True
16.8362 	EXP 	window1: mouseVisible = True
16.8363 	EXP 	window1: mouseVisible = True
16.8370 	EXP 	window1: mouseVisible = True
16.8377 	EXP 	window1: mouseVisible = True
16.8767 	EXP 	window1: mouseVisible = True
16.8773 	EXP 	window1: mouseVisible = True
16.8831 	EXP 	window1: mouseVisible = True
16.8832 	EXP 	window1: mouseVisible = True
16.8839 	EXP 	window1: mouseVisible = True
16.8846 	EXP 	window1: mouseVisible = True
16.9002 	EXP 	window1: mouseVisible = True
16.9003 	EXP 	window1: mouseVisible = True
16.9011 	EXP 	window1: mouseVisible = True
16.9017 	EXP 	window1: mouseVisible = True
16.9063 	EXP 	window1: mouseVisible = True
16.9064 	EXP 	window1: mouseVisible = True
16.9071 	EXP 	window1: mouseVisible = True
16.9078 	EXP 	window1: mouseVisible = True
16.9168 	EXP 	window1: mouseVisible = True
16.9169 	EXP 	window1: mouseVisible = True
16.9176 	EXP 	window1: mouseVisible = True
16.9183 	EXP 	window1: mouseVisible = True
16.9230 	EXP 	window1: mouseVisible = True
16.9248 	EXP 	window1: mouseVisible = True
16.9730 	EXP 	Created Handedness = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-2, fillColor=None, flip=False, font='Open Sans', granularity=1.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=('Left Handed', 'Right Handed'), lineColor=None, markerColor=None, name='Handedness', opacity=None, ori=0.0, pos=array([ 0.1, -0.1]), readOnly=False, self=UNKNOWN, size=array([0.8 , 0.05]), startValue=None, style='radio', styleTweaks=[], ticks=array([0, 1]), units='height', win=Window(...))
16.9731 	EXP 	window1: mouseVisible = True
16.9843 	EXP 	Created age_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='age_text', opacity=1.0, ori=0.0, pos=array([-0.55,  0.3 ]), rgb=UNKNOWN, text='Age Range \n(Optional)', units='height', win=Window(...), wrapWidth=1)
16.9844 	EXP 	window1: mouseVisible = True
16.9906 	EXP 	Created handedness_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='handedness_text', opacity=1.0, ori=0.0, pos=array([-0.55, -0.1 ]), rgb=UNKNOWN, text='Handedness\n(Required)', units='height', win=Window(...), wrapWidth=1)
16.9907 	EXP 	window1: mouseVisible = True
16.9952 	EXP 	Created gender_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='gender_text', opacity=1.0, ori=0.0, pos=array([-0.55,  0.1 ]), rgb=UNKNOWN, text='Gender\n(optional)', units='height', win=Window(...), wrapWidth=1)
16.9952 	EXP 	window1: mouseVisible = True
17.0146 	EXP 	Created instructions_text1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instructions_text1', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
17.0147 	EXP 	window1: mouseVisible = True
17.0190 	EXP 	Created instr1_cnt_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instr1_cnt_text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='Hit the spacebar to continue', units='height', win=Window(...), wrapWidth=1)
17.0191 	EXP 	window1: mouseVisible = True
17.0274 	EXP 	Created instructions_text2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instructions_text2', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
17.0275 	EXP 	window1: mouseVisible = True
17.0313 	EXP 	Created instr2_cnt_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instr2_cnt_text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='Hit the spacebar to continue', units='height', win=Window(...), wrapWidth=1)
17.0314 	EXP 	window1: mouseVisible = True
17.4953 	EXP 	Created key_stim_association = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='key_stim_association.png', interpolate=True, mask=None, maskParams=None, name='key_stim_association', opacity=1.0, ori=0.0, pos=array([ 0.   , -0.125]), size=array([0.5, 0.4]), texRes=128.0, units='height', win=Window(...))
17.4955 	EXP 	window1: mouseVisible = True
17.5188 	EXP 	Created instructions_text3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instructions_text3', opacity=1.0, ori=0.0, pos=array([0. , 0.1]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1.5)
17.5189 	EXP 	window1: mouseVisible = True
17.5231 	EXP 	Created instr3_cnt_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instr3_cnt_text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='Hit the correct keys to begin the study.', units='height', win=Window(...), wrapWidth=1)
17.5232 	EXP 	window1: mouseVisible = True
17.5961 	EXP 	Created examplestim_image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='example_stimulus.png', interpolate=True, mask=None, maskParams=None, name='examplestim_image_2', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.25]), size=array([0.5 , 0.25]), texRes=128.0, units='height', win=Window(...))
17.5963 	EXP 	window1: mouseVisible = True
17.6041 	EXP 	Created instructions_text4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instructions_text4', opacity=1.0, ori=0.0, pos=array([0.  , 0.35]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1.25)
17.6042 	EXP 	window1: mouseVisible = True
17.6087 	EXP 	Created instr4_cnt_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instr4_cnt_text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
17.6087 	EXP 	window1: mouseVisible = True
18.8231 	EXP 	Created handplacement_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='hand_placement_created.png', interpolate=True, mask=None, maskParams=None, name='handplacement_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.75, 0.5 ]), texRes=128.0, units='height', win=Window(...))
18.9408 	EXP 	Sound sound_2 set volume 1.000
18.9410 	EXP 	window1: mouseVisible = True
18.9558 	EXP 	Created instructions_text5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='instructions_text5', opacity=1.0, ori=0.0, pos=array([0. , 0.1]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1.5)
18.9559 	EXP 	window1: mouseVisible = True
18.9604 	EXP 	Created instr5_cnt_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instr5_cnt_text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
18.9604 	EXP 	window1: mouseVisible = True
19.4101 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='key_stim_association.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0.  , 0.15]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
19.4103 	EXP 	window1: mouseVisible = True
19.4120 	EXP 	Created volume_adjustment_instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='volume_adjustment_instructions', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
19.4526 	EXP 	Sound volume_adjuster_sound set volume 1.000
19.4529 	EXP 	window1: mouseVisible = True
19.4557 	EXP 	Created text_countdown_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_countdown_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
19.4558 	EXP 	window1: mouseVisible = True
19.4581 	EXP 	Created space = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([0.3255, 0.3255, 0.3255]), fillColorSpace='rgb', fillRGB=array([0.3255, 0.3255, 0.3255]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=10.0, name='space', opacity=1.0, ori=0.0, pos=array([-0.3,  0. ]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
19.4582 	EXP 	window1: mouseVisible = True
19.4603 	EXP 	Created h = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([0.3255, 0.3255, 0.3255]), fillColorSpace='rgb', fillRGB=array([0.3255, 0.3255, 0.3255]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=10.0, name='h', opacity=1.0, ori=0.0, pos=array([-0.15,  0.  ]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
19.4604 	EXP 	window1: mouseVisible = True
19.4626 	EXP 	Created j = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, draggable=False, fillColor=array([0.3255, 0.3255, 0.3255]), fillColorSpace='rgb', fillRGB=array([0.3255, 0.3255, 0.3255]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=10.0, name='j', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
19.4627 	EXP 	window1: mouseVisible = True
19.4651 	EXP 	Created k = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=False, fillColor=array([0.3255, 0.3255, 0.3255]), fillColorSpace='rgb', fillRGB=array([0.3255, 0.3255, 0.3255]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=10.0, name='k', opacity=1.0, ori=0.0, pos=array([0.15, 0.  ]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
19.4652 	EXP 	window1: mouseVisible = True
19.4673 	EXP 	Created l = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, draggable=False, fillColor=array([0.3255, 0.3255, 0.3255]), fillColorSpace='rgb', fillRGB=array([0.3255, 0.3255, 0.3255]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=10.0, name='l', opacity=1.0, ori=0.0, pos=array([0.3, 0. ]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
19.4674 	EXP 	window1: mouseVisible = True
19.4689 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-7.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
19.4690 	EXP 	window1: mouseVisible = True
19.4705 	EXP 	Created accuracy_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-8.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='accuracy_text', opacity=1.0, ori=0.0, pos=array([0.4, 0.4]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
19.4713 	EXP 	Sound sound_1 set volume 1.000
19.4713 	EXP 	window1: mouseVisible = True
19.4773 	EXP 	Created break_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='break_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
19.4774 	EXP 	window1: mouseVisible = True
19.4884 	EXP 	Created memory_text_instr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='memory_text_instr', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
19.4885 	EXP 	window1: mouseVisible = True
19.4930 	EXP 	Created memory_test_cnt_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='memory_test_cnt_text', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
19.4931 	EXP 	window1: mouseVisible = True
19.4946 	EXP 	Created text_countdown = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_countdown', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
19.4947 	EXP 	window1: mouseVisible = True
